,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
278,,"['ohio hip hop', 'pop rap']",180.37,True,0.528,0.627,11,-3.719,1,0.0373,0.0107,0.0,0.529,0.295,139.988,54,mgk,,papercuts,2071
279,,"['deep underground hip hop', 'hip hop', 'kentucky hip hop', 'pop rap', 'rap']",157.675,True,0.801,0.688,1,-4.594,1,0.396,0.144,0.0,0.107,0.5,162.928,62,Jack Harlow,,SUVs (Black on Black),2072
280,,"['atl hip hop', 'atl trap', 'rap', 'trap']",257.428,True,0.596,0.65,9,-5.167,1,0.337,0.138,0.0,0.14,0.188,133.997,61,Lil Baby,,Hats Off (feat. Travis Scott),2075
281,,['canadian hip hop'],153.406,True,0.833,0.498,10,-5.196,0,0.117,0.0493,0.0,0.119,0.259,139.928,61,Smiley,,Over The Top (feat. Drake),2076
282,,"['bc underground hip hop', 'country rap', 'maga rap']",242.234,False,0.767,0.762,1,-6.116,1,0.272,0.114,0.0,0.125,0.307,94.145,43,Tom MacDonald,,Brainwashed,2077
283,,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",223.878,True,0.787,0.57,3,-5.881,1,0.225,0.0449,0.0,0.135,0.733,142.974,71,Lil Durk,,All My Life (feat. J. Cole),2078
284,,"['hip hop', 'rap']",121.572,True,0.493,0.653,0,-5.666,0,0.0466,0.269,0.0,0.511,0.852,142.347,73,"Tyler, The Creator",,WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign),2079
285,,['pop'],152.666,False,0.369,0.272,9,-10.497,1,0.0364,0.866,0.0,0.147,0.218,172.929,83,Olivia Rodrigo,,favorite crime,2080
286,,"['hip hop', 'north carolina hip hop', 'pop rap', 'rap', 'trap']",112.546,True,0.902,0.669,1,-5.049,1,0.457,0.161,0.0,0.0728,0.628,139.949,63,DaBaby,,Ball If I Want To,2082
287,,"['contemporary country', 'country', 'country road']",164.677,False,0.585,0.872,11,-4.205,1,0.0643,0.16,0.0,0.0868,0.962,160.066,53,Carly Pearce,,Next Girl,2083
