,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
62,"['art pop', 'pop']",333.986,False,0.467,0.392,9,-9.355,1,0.0908,0.2,0.0174,0.106,0.313,145.104,86,Billie Eilish,L’AMOUR DE MA VIE
63,"['art pop', 'candy pop', 'metropopolis', 'pop', 'uk pop']",205.938,False,0.692,0.823,11,-7.209,0,0.0547,0.17,0.00802,0.134,0.458,124.964,81,Charli xcx,"Girl, so confusing featuring lorde"
64,"['corridos tumbados', 'sad sierreno']",232.205,True,0.553,0.48,3,-9.886,0,0.0498,0.597,0.00586,0.0943,0.456,173.009,79,Peso Pluma,RELOJ
65,"['pop', 'r&b']",233.456,True,0.727,0.711,2,-6.549,1,0.078,0.582,0.0,0.158,0.375,110.012,78,Beyoncé,TEXAS HOLD 'EM
66,"['corridos tumbados', 'sad sierreno']",245.997,True,0.664,0.769,4,-5.056,1,0.184,0.406,0.0,0.17,0.542,134.97,81,Peso Pluma,VINO TINTO
67,"['contemporary country', 'country', 'country road']",220.145,False,0.619,0.564,4,-6.517,1,0.0302,0.673,0.0,0.184,0.419,129.944,64,Carly Pearce,we don't fight anymore
68,"['contemporary country', 'country']",165.058,False,0.584,0.427,1,-8.685,1,0.0314,0.502,4.61e-06,0.114,0.535,82.03,73,Luke Combs,The Man He Sees in Me
69,['rap'],202.84,True,0.83,0.529,1,-6.374,1,0.324,0.0733,0.0,0.107,0.54,157.009,74,Don Toliver,BROTHER STONE (FEAT. KODAK BLACK)
70,['pop'],254.365,False,0.626,0.428,2,-8.374,1,0.0261,0.607,0.0,0.0921,0.487,94.95,80,Taylor Swift,Guilty as Sin?
71,['rap'],147.746,True,0.686,0.733,2,-5.268,1,0.0576,0.00567,0.0,0.246,0.141,130.095,76,Don Toliver,BANDIT
72,"['modern country pop', 'singer-songwriter pop']",141.367,True,0.662,0.55,0,-5.816,1,0.0366,0.00354,8.95e-06,0.406,0.308,136.184,79,Jessie Murph,Wild Ones (feat. Jelly Roll)
73,['rap'],161.053,True,0.65,0.655,2,-5.43,1,0.0385,0.0285,0.0,0.159,0.432,154.993,71,Don Toliver,ATTITUDE (FEAT. CHARLIE WILSON & CASH COBAIN)
74,['rap'],126.986,True,0.534,0.819,11,-4.329,1,0.038,0.0012,0.0011,0.112,0.0806,154.994,78,Don Toliver,TORE UP
75,"['contemporary country', 'country pop', 'modern country pop']",182.086,False,0.453,0.632,5,-4.083,1,0.0294,0.132,0.0,0.329,0.427,77.035,72,Ashley Cooke,your place
76,"['art pop', 'pop']",343.12,False,0.349,0.337,7,-10.671,1,0.0407,0.29,0.172,0.139,0.0365,142.01,86,Billie Eilish,BLUE
77,['rap'],218.2,True,0.767,0.697,11,-5.877,0,0.0507,0.169,0.0,0.102,0.525,153.991,71,Don Toliver,ICE AGE (FEAT. TRAVIS SCOTT)
78,[],120.792,True,0.612,0.649,1,-5.553,0,0.384,0.133,0.0,0.11,0.219,158.9,68,BossMan Dlow,Get In With Me
79,['rap'],182.32,True,0.474,0.711,10,-3.546,0,0.0522,0.0308,1.13e-05,0.278,0.331,134.046,72,Don Toliver,KRYPTONITE
80,"['classical', 'french romanticism', 'late romantic era']",122.666,False,0.194,0.0545,9,-32.039,0,0.0413,0.983,0.19,0.3,0.107,167.158,35,Camille Saint-Saëns,Carnival of the Animals: VII. Aquarium
81,"['rap', 'slap house']",191.7,True,0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,90,Travis Scott,FE!N (feat. Playboi Carti)
82,"['art pop', 'pop']",293.84,False,0.407,0.192,7,-10.99,1,0.0368,0.637,3.33e-06,0.21,0.159,128.173,84,Billie Eilish,THE GREATEST
83,"['art pop', 'pop']",219.733,False,0.251,0.252,9,-14.478,1,0.0375,0.693,0.00706,0.0968,0.0395,69.988,83,Billie Eilish,SKINNY
84,"['art pop', 'pop']",186.346,False,0.857,0.386,1,-9.761,1,0.168,0.243,0.0931,0.111,0.661,125.017,82,Billie Eilish,THE DINER
85,['pop'],170.541,True,0.68,0.581,8,-5.166,1,0.106,0.0181,1.07e-06,0.276,0.63,119.974,80,Olivia Rodrigo,obsessed
86,"['mambo chileno', 'trap latino', 'urbano chileno', 'urbano latino']",156.0,True,0.763,0.626,5,-5.637,0,0.0433,0.0859,0.225,0.205,0.78,100.02,89,Cris Mj,SI NO ES CONTIGO
87,['pop'],215.463,True,0.533,0.573,0,-7.123,1,0.138,0.178,0.0,0.309,0.398,150.088,77,Taylor Swift,Florida!!! (feat. Florence + The Machine)
88,['pop'],249.807,False,0.421,0.525,10,-10.359,1,0.0472,0.825,2.67e-06,0.308,0.535,167.927,79,Taylor Swift,The Prophecy
89,"['atl hip hop', 'melodic rap', 'rap', 'trap']",90.76,True,0.887,0.727,4,-4.318,0,0.135,0.381,1.16e-06,0.213,0.932,130.035,78,Gunna,on one tonight
90,"['art pop', 'pop']",298.44,False,0.521,0.254,9,-14.409,0,0.0399,0.815,0.884,0.114,0.153,125.021,81,Billie Eilish,BITTERSUITE
91,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']",152.078,False,0.76,0.747,0,-5.083,0,0.0282,0.0675,2.73e-06,0.309,0.884,128.912,84,Fuerza Regida,TÚ NAME
,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,song
