,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song
3242,"['alternative r&b', 'pop', 'pop rap']",,,,,,,,,,,,,,,Summer Walker,['Summer Walker'],Drunk Dialing...LODT
3262,"['arkansas country', 'contemporary country', 'country', 'country road', 'modern country rock', 'redneck']",,,,,,,,,,,,,,,Justin Moore,['Justin Moore'],The Ones That Didn't Make It Back Home
3313,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,Taylor Swift,"['Taylor Swift', 'Dixie Chicks']",Soon You'll Get Better
3319,"['dance pop', 'pop', 'post-teen pop']",,,,,,,,,,,,,,,Taylor Swift,['Taylor Swift'],It's Nice To Have A Friend
3321,,,,,,,,,,,,,,,,Tyler,"['Tyler', ' The Creator']",EARFQUAKE
3335,,,,,,,,,,,,,,,,The Chainsmokers,"['The Chainsmokers', 'ILLENIUM', 'Lennon Stella']",Takeaway
3346,"['hip hop', 'philly rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Meek Mill,"['Meek Mill', 'Ella Mai']",24/7
3356,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",,,,,,,,,,,,,,,Drake,['Drake'],How About Now
3372,,,,,,,,,,,,,,,,Pedro Capo X Farruko,['Pedro Capo X Farruko'],Calma
3380,"['dance pop', 'pop', 'pop rap', 'r&b']",,,,,,,,,,,,,,,Beyonce,"['Beyonce', ' SAINt JHN', 'Wizkid', 'Blue Ivy Carter']",Brown Skin Girl
3387,,209.12,False,0.631,0.796,1.0,-5.35,1.0,0.0401,0.000245,0.0115,0.38,0.5959999999999999,92.469,71.0,Ed Sheeran,"['Ed Sheeran', 'Chris Stapleton', 'Bruno Mars']",BLOW
3398,,,,,,,,,,,,,,,,Summer Walker X Drake,['Summer Walker X Drake'],Girls Need Love
3412,,,,,,,,,,,,,,,,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,['Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA'],Baila Baila Baila
