Date,Song,Artist,Rank,Last Week,Peak Position,Weeks in Charts,Image URL
2013-02-13,Anything Could Happen,Ellie Goulding,26,19,19,4,https://charts-static.billboard.com/img/2012/09/ellie-goulding-1mr-180x180.jpg
2013-02-13,Girl On Fire,Alicia Keys Featuring Nicki Minaj,27,25,25,4,https://charts-static.billboard.com/img/2001/03/alicia-keys-c6f-180x180.jpg
2013-02-13,Thinkin Bout You,Frank Ocean,28,27,23,4,https://charts-static.billboard.com/img/2011/05/frank-ocean-3ku-180x180.jpg
2013-02-13,I'm Different,2 Chainz,29,28,28,4,https://charts-static.billboard.com/img/2011/01/2-chainz-gor-180x180.jpg
2013-02-13,Suit & Tie,Justin Timberlake Featuring JAY Z,30,40,30,2,https://charts-static.billboard.com/img/2002/09/justin-timberlake-8fk-180x180.jpg
2013-02-13,Bandz A Make Her Dance,Juicy J Featuring Lil Wayne & 2 Chainz,31,29,26,4,https://charts-static.billboard.com/img/2002/08/juicy-j-veb-180x180.jpg
2013-02-13,We Are Never Ever Getting Back Together,Taylor Swift,32,26,21,4,https://charts-static.billboard.com/img/2006/07/taylor-swift-9sy-180x180.jpg
2013-02-13,No Worries,Lil Wayne Featuring Detail,33,32,27,4,https://charts-static.billboard.com/img/1999/05/lil-wayne-5az-180x180.jpg
2013-02-13,We Are Young,fun. Featuring Janelle Monae,34,33,29,4,https://charts-static.billboard.com/img/2011/10/fun-0dk-weareyoung-siq-180x180.jpg
2013-02-13,Stubborn Love,The Lumineers,35,38,35,4,https://charts-static.billboard.com/img/2012/04/the-lumineers-3ig-180x180.jpg
