,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
898,,195.546,False,0.792,0.7169999999999999,0.0,-4.759,0.0,0.0393,0.0927,3.6e-05,0.226,0.466,121.985,78.0,Kungs vs Cookin' On 3 Burners,"[""Kungs vs Cookin' On 3 Burners""]",This Girl,4777
899,"['contemporary country', 'country pop']",,,,,,,,,,,,,,,Tucker Beathard,['Tucker Beathard'],Rock On,4788
900,,,,,,,,,,,,,,,,Kanye West,['Kanye West'],"Father Stretch My Hands, Pt. 1",4792
901,"['alternative metal', 'canadian metal', 'canadian rock', 'nu metal', 'post-grunge']",,,,,,,,,,,,,,,Grace,"['Grace', 'G-Eazy']",You Don't Own Me,4793
902,"['contemporary country', 'country', 'country pop', 'country road', 'modern country rock']",,,,,,,,,,,,,,,Florida Georgia Line,['Florida Georgia Line'],H.O.L.Y.,4805
903,,,,,,,,,,,,,,,,Enrique Iglesias,"['Enrique Iglesias', 'Wisin or Tinashe', 'Javada']",Duele El Corazon,4831
904,,,,,,,,,,,,,,,,Luke Bryan,['Luke Bryan'],"Huntin', Fishin' And Lovin' Every Day",4855
905,"['dance pop', 'pop', 'pop rap', 'post-teen pop']",,,,,,,,,,,,,,,Fergie,['Fergie'],M.I.L.F. $,4870
906,,,,,,,,,,,,,,,,G-Eazy x Bebe Rexha,['G-Eazy x Bebe Rexha'],"Me, Myself & I",4875
907,"['contemporary country', 'country', 'country road', 'modern country rock']",,,,,,,,,,,,,,,Thomas Rhett,['Thomas Rhett'],T-Shirt,4876
908,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'urban contemporary']",,,,,,,,,,,,,,,Jennifer Lopez,"['Jennifer Lopez', 'Lin-Manuel Miranda']",Love Make The World Go Round,4877
909,,46.253,False,0.632,0.323,10.0,-14.042,0.0,0.951,0.811,0.0,0.1019999999999999,0.769,171.053,18.0,Chris Young Duet,"['Chris Young Duet', 'Cassadee Pope']",Think Of You,4891
910,,,,,,,,,,,,,,,,Mike WiLL Made-It x Rihanna,['Mike WiLL Made-It x Rihanna'],Nothing Is Promised,4910
911,['country pop'],,,,,,,,,,,,,,,Adam Wakefield,['Adam Wakefield'],I'm Sorry,4935
912,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Kendrick Lamar,['Kendrick Lamar'],Untitled 02 l 06.23.2014.,5023
913,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",,,,,,,,,,,,,,,Kendrick Lamar,['Kendrick Lamar'],Untitled 07 l Levitate,5024
914,"['atl hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop', 'trap']",,,,,,,,,,,,,,,Future,['Future'],Fly S**t Only,5056
915,['arkansas country'],,,,,,,,,,,,,,,Barrett Baber,['Barrett Baber'],I'd Just Love To Lay You Down,5133
916,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'talent show']",,,,,,,,,,,,,,,One Direction,['One Direction'],A.M.,5149
