,Unnamed: 0,spotify_genre,track_duration_s,explicit_track,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,spotify_popularity,main_artist,artist_list,song,index_empty_val
111,,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",160.033,True,0.774,0.551,1,-5.862,1,0.0854,0.0334,0.0,0.109,0.0858,137.932,46,Lil Durk,,Burglars & Murderers (feat. EST Gee),1473
112,,"['r&b', 'rap']",218.266,True,0.654,0.532,5,-9.07,0,0.143,0.00892,0.0,0.104,0.389,85.016,50,Chris Brown,,Addicted (feat. Lil Baby),1474
113,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",308.82,False,0.765,0.627,0,-4.607,1,0.0622,0.000916,0.195,0.0847,0.536,118.997,60,Drake,,Texts Go Green,1475
114,,"['chicago drill', 'chicago rap', 'drill', 'hip hop', 'pop rap', 'rap', 'trap']",156.0,True,0.735,0.709,10,-8.894,0,0.323,0.0925,0.0,0.301,0.676,160.007,42,Lil Durk,,Did Shit To Me (feat. Doodie Lo),1476
115,,"['r&b', 'rap']",233.746,True,0.734,0.398,9,-9.453,1,0.243,0.0136,0.000158,0.111,0.243,91.941,49,Chris Brown,,Possessive (feat. Lil Wayne & BLEU),1477
116,,"['brooklyn drill', 'nyc rap']",148.816,True,0.812,0.582,11,-6.26,1,0.334,0.823,0.0,0.111,0.672,77.475,69,Sleepy Hallow,,Die Young (feat. 347aidan),1478
117,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",129.964,True,0.826,0.276,11,-11.227,0,0.266,0.62,8.53e-05,0.118,0.484,123.985,58,Drake,,Calling My Name,1479
118,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",173.097,True,0.6,0.482,1,-11.596,1,0.0701,0.512,0.000104,0.115,0.323,121.909,63,Drake,,A Keeper,1480
119,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",157.39,False,0.883,0.283,0,-12.653,1,0.113,0.104,0.00167,0.0935,0.416,122.013,58,Drake,,Currents,1481
120,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",254.407,False,0.593,0.41,3,-13.097,0,0.0531,0.886,0.0993,0.115,0.201,122.584,65,Drake,,Flight's Booked,1482
121,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",202.451,False,0.502,0.645,2,-10.611,0,0.122,0.444,0.00964,0.107,0.518,109.739,57,Drake,,Overdrive,1483
122,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",237.932,True,0.557,0.706,0,-6.592,1,0.0649,0.268,0.0,0.132,0.582,105.013,57,Drake,,Liability,1484
123,,"['contemporary country', 'country', 'country road', 'modern country rock']",189.56,False,0.634,0.764,4,-5.858,1,0.0297,0.00354,0.0,0.337,0.736,104.03,57,Walker Hayes,,AA,1485
124,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",250.864,False,0.718,0.319,3,-11.261,1,0.0435,0.965,0.00036,0.0895,0.639,109.994,53,Drake,,Down Hill,1486
125,,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",336.005,False,0.775,0.688,4,-10.912,0,0.0593,0.0176,0.0917,0.108,0.284,120.017,56,Drake,,Tie That Binds,1487
126,,"['k-pop', 'k-pop boy group', 'pop']",193.593,False,0.559,0.885,1,-4.515,1,0.189,0.0432,0.0,0.333,0.683,172.029,68,BTS,,Yet To Come,1488
127,,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",195.95,True,0.79,0.67,1,-5.527,1,0.105,0.377,2.32e-06,0.119,0.408,139.956,78,Kendrick Lamar,,N95,1489
128,,['pop'],207.12,False,0.602,0.626,2,-5.323,0,0.0396,0.0129,9.02e-06,0.144,0.619,160.118,74,Tate McRae,,she's all i wanna be,1490
129,,"['classic texas country', 'contemporary country', 'modern country pop']",224.213,False,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.087,73,Cody Johnson,,'Til You Can't,1491
130,,"['contemporary country', 'country', 'country dawn', 'country road']",195.013,False,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,56,Miranda Lambert,,If I Was a Cowboy,1492
131,,"['k-pop', 'k-pop boy group', 'pop']",204.939,False,0.724,0.818,8,-3.747,1,0.168,0.0201,0.0,0.0358,0.696,77.004,75,BTS,,Run BTS,1493
132,,"['chicago rap', 'rap']",171.319,True,0.713,0.689,11,-5.99,1,0.255,0.16,0.0,0.136,0.63,156.934,59,Polo G,,Distraction,1494
133,,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",239.026,True,0.775,0.736,1,-8.072,0,0.247,0.319,0.00116,0.127,0.362,100.988,74,Kendrick Lamar,,Die Hard,1495
134,,"['chicago rap', 'hip hop', 'rap']",148.571,False,0.712,0.861,5,-5.487,0,0.25,0.0182,6.09e-06,0.511,0.388,84.042,74,Kanye West,,True Love,1497
135,,"['r&b', 'rap', 'uk contemporary r&b', 'urban contemporary']",197.52,True,0.708,0.673,6,-4.163,1,0.0585,0.499,0.000233,0.103,0.311,136.969,61,Ella Mai,,DFMU,1498
136,,['pop'],245.964,False,0.507,0.294,2,-10.0,1,0.04,0.896,1.97e-05,0.0966,0.386,114.199,76,Harry Styles,,Matilda,1499
137,,"['reggaeton', 'trap latino', 'urbano latino']",230.704,True,0.872,0.588,0,-6.276,1,0.0492,0.275,0.0,0.17,0.93,142.004,72,Bad Bunny,,Yo No Soy Celoso,1500
138,,['pop'],164.533,False,0.686,0.445,0,-7.189,1,0.0398,0.484,0.00144,0.175,0.626,145.5,72,Harry Styles,,Daylight,1501
139,,"['contemporary country', 'country', 'country road', 'modern country rock']",216.764,False,0.464,0.755,4,-5.707,1,0.0354,0.00838,0.0,0.0989,0.449,155.973,50,Thomas Rhett,,Slow Down Summer,1502
140,,"['dance pop', 'edm', 'electro house', 'house', 'pop', 'progressive house', 'uk dance']",214.459,True,0.824,0.697,11,-4.869,0,0.0473,0.158,4.11e-05,0.077,0.757,99.988,64,Calvin Harris,,Potion (with Dua Lipa & Young Thug),1503
141,,"['dfw rap', 'melodic rap', 'pop', 'rap']",193.565,False,0.744,0.628,2,-5.435,1,0.0287,0.0493,0.0,0.317,0.539,119.966,67,Post Malone,,Wrapped Around Your Finger,1504
142,,"['dfw rap', 'melodic rap', 'pop', 'rap']",193.506,True,0.687,0.781,1,-4.806,1,0.053,0.0361,0.0,0.0755,0.688,97.014,70,Post Malone,,One Right Now (with The Weeknd),1505
143,,"['dfw rap', 'melodic rap', 'pop', 'rap']",169.824,True,0.517,0.668,1,-6.012,1,0.116,0.0712,0.0,0.407,0.646,79.782,58,Post Malone,,I Cannot Be (A Sadder Song) (with Gunna),1506
144,,"['dfw rap', 'melodic rap', 'pop', 'rap']",243.486,True,0.611,0.584,11,-6.897,0,0.0301,0.083,0.0,0.432,0.181,116.106,59,Post Malone,,Lemon Tree,1507
145,,"['dfw rap', 'melodic rap', 'pop', 'rap']",248.177,True,0.314,0.439,2,-5.726,1,0.0311,0.671,0.0,0.181,0.364,180.119,56,Post Malone,,Reputation,1508
146,,"['dfw rap', 'melodic rap', 'pop', 'rap']",243.158,False,0.583,0.43,9,-7.748,1,0.0353,0.801,0.0,0.0867,0.367,84.967,61,Post Malone,,Wasting Angels (with The Kid LAROI),1509
147,,"['dfw rap', 'melodic rap', 'pop', 'rap']",169.66,True,0.645,0.671,10,-7.208,0,0.0459,0.0597,8e-06,0.11,0.365,82.546,53,Post Malone,,Insane,1510
148,,"['dfw rap', 'melodic rap', 'pop', 'rap']",183.816,True,0.475,0.569,4,-7.073,0,0.0343,0.037,0.00129,0.232,0.0395,108.007,52,Post Malone,,Love/Hate Letter To Alcohol (with Fleet Foxes),1511
149,,['pop'],202.183,False,0.559,0.535,3,-7.723,1,0.039,0.719,0.000143,0.0954,0.402,141.96,72,Harry Styles,,Little Freak,1512
150,,['pop'],191.958,False,0.645,0.721,5,-4.394,1,0.0336,0.357,0.143,0.204,0.88,182.928,67,Harry Styles,,Grapejuice,1513
151,,['pop'],218.577,False,0.576,0.457,0,-6.473,1,0.0304,0.143,3.05e-05,0.0917,0.301,138.984,73,Harry Styles,,Satellite,1514
152,,"['dfw rap', 'melodic rap', 'pop', 'rap']",195.11,False,0.485,0.656,10,-6.121,0,0.0528,0.0346,0.0,0.155,0.106,140.107,53,Post Malone,,When I’m Alone,1515
153,,"['dfw rap', 'melodic rap', 'pop', 'rap']",145.795,True,0.301,0.303,4,-12.39,1,0.0458,0.177,0.031,0.0979,0.0384,141.997,48,Post Malone,,Euthanasia,1516
154,,"['contemporary country', 'country', 'country road', 'modern country rock']",176.146,False,0.472,0.937,0,-4.028,0,0.0567,0.00717,0.0,0.11,0.454,140.073,57,Cole Swindell,,Never Say Never (with Lainey Wilson),1517
155,,['pop'],243.507,False,0.829,0.644,9,-7.696,0,0.0427,0.354,0.0511,0.0944,0.896,105.993,67,Harry Styles,,Cinema,1518
156,,['pop'],140.241,False,0.721,0.479,9,-9.669,1,0.226,0.321,0.00156,0.182,0.902,164.948,73,Harry Styles,,Keep Driving,1519
